ID,num_of_leaves,model,non_binary_prob,planted,remove_extinct,rescale_to_height,dupl_rate,loss_rate,hgt_rate,prohibit_extinction,replace_prob
P0_0087,31,innovation,0.260558956247002,True,False,1,0.25,0.25,0.25,per_family,1
P0_0088,15,innovation,0.348387495972629,True,False,1,0.25,0.25,0.25,per_family,1
P0_0089,20,innovation,0.210778422862278,True,False,1,0.25,0.25,0.25,per_family,1
P0_0090,18,innovation,0.188008443369421,True,False,1,0.25,0.25,0.25,per_family,1
P0_0091,42,innovation,0.128482491717147,True,False,1,0.25,0.25,0.25,per_family,1
P0_0092,28,innovation,0.013167263086313,True,False,1,0.25,0.25,0.25,per_family,1
P0_0093,36,innovation,0.291563439079337,True,False,1,0.25,0.25,0.25,per_family,1
P0_0094,44,innovation,0.459207705599674,True,False,1,0.25,0.25,0.25,per_family,1
P0_0095,41,innovation,0.17959148099287,True,False,1,0.25,0.25,0.25,per_family,1
P0_0096,13,innovation,0.008653640227037,True,False,1,0.25,0.25,0.25,per_family,1
P0_0097,11,innovation,0.370116393058342,True,False,1,0.25,0.25,0.25,per_family,1
P0_0098,17,innovation,0.36920163392284,True,False,1,0.25,0.25,0.25,per_family,1
P0_0099,36,innovation,0.219984999934471,True,False,1,0.25,0.25,0.25,per_family,1
P0_0100,44,innovation,0.349396103323921,True,False,1,0.25,0.25,0.25,per_family,1
P0_0101,42,innovation,0.137873910600596,True,False,1,0.25,0.25,0.25,per_family,1
P0_0102,37,innovation,0.070293742011151,True,False,1,0.25,0.25,0.25,per_family,1
P0_0103,34,innovation,0.280748796194313,True,False,1,0.25,0.25,0.25,per_family,1
P0_0104,29,innovation,0.424884160582075,True,False,1,0.25,0.25,0.25,per_family,1
P0_0105,46,innovation,0.282949513114907,True,False,1,0.25,0.25,0.25,per_family,1
P0_0106,26,innovation,0.386288315598194,True,False,1,0.25,0.25,0.25,per_family,1
P0_0107,32,innovation,0.262127671912845,True,False,1,0.25,0.25,0.25,per_family,1
P0_0108,31,innovation,0.303540059812659,True,False,1,0.25,0.25,0.25,per_family,1
P0_0109,26,innovation,0.123902570888573,True,False,1,0.25,0.25,0.25,per_family,1
P0_0110,17,innovation,0.02663909968589,True,False,1,0.25,0.25,0.25,per_family,1
P0_0111,13,innovation,0.03441810724917,True,False,1,0.25,0.25,0.25,per_family,1
P0_0112,47,innovation,0.377300309808792,True,False,1,0.25,0.25,0.25,per_family,1
P0_0113,44,innovation,0.367929069595747,True,False,1,0.25,0.25,0.25,per_family,1
P0_0114,43,innovation,0.0992465977096,True,False,1,0.25,0.25,0.25,per_family,1
P0_0115,32,innovation,0.265396551153905,True,False,1,0.25,0.25,0.25,per_family,1
P0_0116,27,innovation,0.361640866412642,True,False,1,0.25,0.25,0.25,per_family,1
P0_0117,42,innovation,0.222561090691424,True,False,1,0.25,0.25,0.25,per_family,1
P0_0118,32,innovation,0.321704345304675,True,False,1,0.25,0.25,0.25,per_family,1
P0_0119,41,innovation,0.01012434700888,True,False,1,0.25,0.25,0.25,per_family,1
P0_0120,37,innovation,0.349580705815525,True,False,1,0.25,0.25,0.25,per_family,1
P0_0121,31,innovation,0.148811787091342,True,False,1,0.25,0.25,0.25,per_family,1
P0_0122,21,innovation,0.428855176853389,True,False,1,0.25,0.25,0.25,per_family,1
P0_0123,48,innovation,0.373796148254824,True,False,1,0.25,0.25,0.25,per_family,1
P0_0124,31,innovation,0.079904718170853,True,False,1,0.25,0.25,0.25,per_family,1
P0_0125,45,innovation,0.21747115496319,True,False,1,0.25,0.25,0.25,per_family,1
P0_0126,43,innovation,0.166518230971375,True,False,1,0.25,0.25,0.25,per_family,1
P0_0127,43,innovation,0.208395170128457,True,False,1,0.25,0.25,0.25,per_family,1
P0_0128,12,innovation,0.253804342300457,True,False,1,0.25,0.25,0.25,per_family,1
P0_0129,43,innovation,0.489078412260778,True,False,1,0.25,0.25,0.25,per_family,1
P0_0130,47,innovation,0.427196715942444,True,False,1,0.25,0.25,0.25,per_family,1
P0_0131,11,innovation,0.092429007576043,True,False,1,0.25,0.25,0.25,per_family,1
P0_0132,47,innovation,0.261843028137991,True,False,1,0.25,0.25,0.25,per_family,1
P0_0133,47,innovation,0.304103622802947,True,False,1,0.25,0.25,0.25,per_family,1
P0_0134,19,innovation,0.42188529361649,True,False,1,0.25,0.25,0.25,per_family,1
P0_0135,37,innovation,0.245556348592925,True,False,1,0.25,0.25,0.25,per_family,1
P0_0136,10,innovation,0.25434271146258,True,False,1,0.25,0.25,0.25,per_family,1
P0_0137,47,innovation,0.308393970049476,True,False,1,0.25,0.25,0.25,per_family,1
P0_0138,24,innovation,0.474853762924419,True,False,1,0.25,0.25,0.25,per_family,1
P0_0139,37,innovation,0.439322101134486,True,False,1,0.25,0.25,0.25,per_family,1
P0_0140,19,innovation,0.453820903344185,True,False,1,0.25,0.25,0.25,per_family,1
P0_0141,25,innovation,0.156104689430048,True,False,1,0.25,0.25,0.25,per_family,1
P0_0142,18,innovation,0.397127241669876,True,False,1,0.25,0.25,0.25,per_family,1
P0_0143,34,innovation,0.177333789960145,True,False,1,0.25,0.25,0.25,per_family,1
P0_0144,32,innovation,0.444067712857092,True,False,1,0.25,0.25,0.25,per_family,1
P0_0145,16,innovation,0.240843619575033,True,False,1,0.25,0.25,0.25,per_family,1
P0_0146,16,innovation,0.003483990193828,True,False,1,0.25,0.25,0.25,per_family,1
P0_0147,29,innovation,0.037461724954526,True,False,1,0.25,0.25,0.25,per_family,1
P0_0148,34,innovation,0.002590634793273,True,False,1,0.25,0.25,0.25,per_family,1
P0_0149,30,innovation,0.249031859893231,True,False,1,0.25,0.25,0.25,per_family,1
P0_0150,16,innovation,0.176686561953988,True,False,1,0.25,0.25,0.25,per_family,1
P0_0151,29,innovation,0.08991821483824,True,False,1,0.25,0.25,0.25,per_family,1
P0_0152,20,innovation,0.073739462252866,True,False,1,0.25,0.25,0.25,per_family,1
P0_0153,12,innovation,0.309359369532579,True,False,1,0.25,0.25,0.25,per_family,1
P0_0154,22,innovation,0.117088923931687,True,False,1,0.25,0.25,0.25,per_family,1
P0_0155,28,innovation,0.084479372371612,True,False,1,0.25,0.25,0.25,per_family,1
P0_0156,10,innovation,0.047091934889402,True,False,1,0.25,0.25,0.25,per_family,1
P0_0157,40,innovation,0.409037027338175,True,False,1,0.25,0.25,0.25,per_family,1
P0_0158,12,innovation,0.131159548519725,True,False,1,0.25,0.25,0.25,per_family,1
P0_0159,30,innovation,0.016147379918055,True,False,1,0.25,0.25,0.25,per_family,1
P0_0160,43,innovation,0.345730194857671,True,False,1,0.25,0.25,0.25,per_family,1
P0_0161,19,innovation,0.229243070125633,True,False,1,0.25,0.25,0.25,per_family,1
P0_0162,38,innovation,0.134478869018411,True,False,1,0.25,0.25,0.25,per_family,1
P0_0163,40,innovation,0.422681660969963,True,False,1,0.25,0.25,0.25,per_family,1
P0_0164,13,innovation,0.400435026449378,True,False,1,0.25,0.25,0.25,per_family,1
P0_0165,43,innovation,0.194590701317483,True,False,1,0.25,0.25,0.25,per_family,1
P0_0166,23,innovation,0.486868905305662,True,False,1,0.25,0.25,0.25,per_family,1
P0_0167,27,innovation,0.119297985682146,True,False,1,0.25,0.25,0.25,per_family,1
P0_0168,39,innovation,0.15237847056358,True,False,1,0.25,0.25,0.25,per_family,1
P0_0169,33,innovation,0.375166598715188,True,False,1,0.25,0.25,0.25,per_family,1
P0_0170,45,innovation,0.076532854594183,True,False,1,0.25,0.25,0.25,per_family,1
P0_0171,36,innovation,0.035520865906448,True,False,1,0.25,0.25,0.25,per_family,1
P0_0172,25,innovation,0.36972496688919,True,False,1,0.25,0.25,0.25,per_family,1
P0_0173,37,innovation,0.273036689246269,True,False,1,0.25,0.25,0.25,per_family,1
P0_0174,23,innovation,0.269922738266152,True,False,1,0.25,0.25,0.25,per_family,1
P0_0175,38,innovation,0.20891238538423,True,False,1,0.25,0.25,0.25,per_family,1
P0_0176,21,innovation,0.366539397071915,True,False,1,0.25,0.25,0.25,per_family,1
P0_0177,15,innovation,0.395994435946204,True,False,1,0.25,0.25,0.25,per_family,1
P0_0178,49,innovation,0.376608689308746,True,False,1,0.25,0.25,0.25,per_family,1
P0_0179,49,innovation,0.244358220868008,True,False,1,0.25,0.25,0.25,per_family,1
P0_0180,12,innovation,0.188177016560809,True,False,1,0.25,0.25,0.25,per_family,1
P0_0181,21,innovation,0.48445727382277,True,False,1,0.25,0.25,0.25,per_family,1
P0_0182,33,innovation,0.158097568120277,True,False,1,0.25,0.25,0.25,per_family,1
P0_0183,22,innovation,0.260685905276511,True,False,1,0.25,0.25,0.25,per_family,1
P0_0184,41,innovation,0.309193937312821,True,False,1,0.25,0.25,0.25,per_family,1
P0_0185,24,innovation,0.170241890426921,True,False,1,0.25,0.25,0.25,per_family,1
P0_0186,29,innovation,0.295577031502621,True,False,1,0.25,0.25,0.25,per_family,1
P0_0187,10,innovation,0.490765156074776,True,False,1,0.25,0.25,0.25,per_family,1
P0_0188,26,innovation,0.481569783700997,True,False,1,0.25,0.25,0.25,per_family,1
P0_0189,22,innovation,0.374708579776249,True,False,1,0.25,0.25,0.25,per_family,1
P0_0190,48,innovation,0.006125634282189,True,False,1,0.25,0.25,0.25,per_family,1
P0_0191,42,innovation,0.062781980971104,True,False,1,0.25,0.25,0.25,per_family,1
P0_0192,13,innovation,0.259042205547606,True,False,1,0.25,0.25,0.25,per_family,1
P0_0193,33,innovation,0.208325458543373,True,False,1,0.25,0.25,0.25,per_family,1
P0_0194,49,innovation,0.174002454641699,True,False,1,0.25,0.25,0.25,per_family,1
P0_0195,23,innovation,0.236495281734754,True,False,1,0.25,0.25,0.25,per_family,1
P0_0196,13,innovation,0.007813537770334,True,False,1,0.25,0.25,0.25,per_family,1
P0_0197,39,innovation,0.316080240055608,True,False,1,0.25,0.25,0.25,per_family,1
P0_0198,35,innovation,0.03513403680052,True,False,1,0.25,0.25,0.25,per_family,1
P0_0199,33,innovation,0.203366823941635,True,False,1,0.25,0.25,0.25,per_family,1
P0_0200,14,innovation,0.364586663411311,True,False,1,0.25,0.25,0.25,per_family,1
P0_0201,48,innovation,0.115170937168017,True,False,1,0.25,0.25,0.25,per_family,1
P0_0202,22,innovation,0.026189165621634,True,False,1,0.25,0.25,0.25,per_family,1
P0_0203,19,innovation,0.124331122705861,True,False,1,0.25,0.25,0.25,per_family,1
P0_0204,13,innovation,0.118391547834434,True,False,1,0.25,0.25,0.25,per_family,1
P0_0205,41,innovation,0.373331528208244,True,False,1,0.25,0.25,0.25,per_family,1
P0_0206,20,innovation,0.040296460419834,True,False,1,0.25,0.25,0.25,per_family,1
P0_0207,49,innovation,0.447518425728176,True,False,1,0.25,0.25,0.25,per_family,1
P0_0208,40,innovation,0.390185949303612,True,False,1,0.25,0.25,0.25,per_family,1
P0_0209,29,innovation,0.384347915030754,True,False,1,0.25,0.25,0.25,per_family,1
P0_0210,36,innovation,0.39045922397445,True,False,1,0.25,0.25,0.25,per_family,1
P0_0211,27,innovation,0.418364136129921,True,False,1,0.25,0.25,0.25,per_family,1
P0_0212,25,innovation,0.224740965948206,True,False,1,0.25,0.25,0.25,per_family,1
P0_0213,12,innovation,0.312099365082916,True,False,1,0.25,0.25,0.25,per_family,1
P0_0214,11,innovation,0.268494801770281,True,False,1,0.25,0.25,0.25,per_family,1
P0_0215,17,innovation,0.499884477767569,True,False,1,0.25,0.25,0.25,per_family,1
P0_0216,49,innovation,0.390896143446103,True,False,1,0.25,0.25,0.25,per_family,1
P0_0217,17,innovation,0.19437486091127,True,False,1,0.25,0.25,0.25,per_family,1
P0_0218,47,innovation,0.158601932409448,True,False,1,0.25,0.25,0.25,per_family,1
P0_0219,49,innovation,0.019518864801633,True,False,1,0.25,0.25,0.25,per_family,1
P0_0220,35,innovation,0.390070373889369,True,False,1,0.25,0.25,0.25,per_family,1
P0_0221,36,innovation,0.117600991954534,True,False,1,0.25,0.25,0.25,per_family,1
P0_0222,47,innovation,0.397849482808602,True,False,1,0.25,0.25,0.25,per_family,1
P0_0223,10,innovation,0.249030492692678,True,False,1,0.25,0.25,0.25,per_family,1
P0_0224,41,innovation,0.388701663922745,True,False,1,0.25,0.25,0.25,per_family,1
P0_0225,13,innovation,0.45132088557229,True,False,1,0.25,0.25,0.25,per_family,1
P0_0226,12,innovation,0.456662977146089,True,False,1,0.25,0.25,0.25,per_family,1
P0_0227,21,innovation,0.180141959248858,True,False,1,0.25,0.25,0.25,per_family,1
P0_0228,34,innovation,0.159065379265988,True,False,1,0.25,0.25,0.25,per_family,1
P0_0229,11,innovation,0.488266391610078,True,False,1,0.25,0.25,0.25,per_family,1
P0_0230,46,innovation,0.313330780169133,True,False,1,0.25,0.25,0.25,per_family,1
P0_0231,43,innovation,0.258889538950656,True,False,1,0.25,0.25,0.25,per_family,1
P0_0232,29,innovation,0.276416474881193,True,False,1,0.25,0.25,0.25,per_family,1
P0_0233,48,innovation,0.435249079088079,True,False,1,0.25,0.25,0.25,per_family,1
P0_0234,23,innovation,0.297153078614282,True,False,1,0.25,0.25,0.25,per_family,1
P0_0235,46,innovation,0.482522192770545,True,False,1,0.25,0.25,0.25,per_family,1
P0_0236,13,innovation,0.041634715127178,True,False,1,0.25,0.25,0.25,per_family,1
P0_0237,18,innovation,0.076367428183727,True,False,1,0.25,0.25,0.25,per_family,1
P0_0238,26,innovation,0.071148508616868,True,False,1,0.25,0.25,0.25,per_family,1
P0_0239,49,innovation,0.467124799237492,True,False,1,0.25,0.25,0.25,per_family,1
P0_0240,39,innovation,0.26737320199281,True,False,1,0.25,0.25,0.25,per_family,1
P0_0241,24,innovation,0.288776746194696,True,False,1,0.25,0.25,0.25,per_family,1
P0_0242,46,innovation,0.378623586930621,True,False,1,0.25,0.25,0.25,per_family,1
P0_0243,30,innovation,0.068045466735066,True,False,1,0.25,0.25,0.25,per_family,1
P0_0244,39,innovation,0.111449150880131,True,False,1,0.25,0.25,0.25,per_family,1
P0_0245,27,innovation,0.331697096942257,True,False,1,0.25,0.25,0.25,per_family,1
P0_0246,13,innovation,0.397522835666246,True,False,1,0.25,0.25,0.25,per_family,1
P0_0247,22,innovation,0.365648644280155,True,False,1,0.25,0.25,0.25,per_family,1
P0_0248,45,innovation,0.157615888389739,True,False,1,0.25,0.25,0.25,per_family,1
P0_0249,13,innovation,0.38171149409954,True,False,1,0.25,0.25,0.25,per_family,1
P0_0250,36,innovation,0.336160717262418,True,False,1,0.25,0.25,0.25,per_family,1
P0_0251,35,innovation,0.023809168911645,True,False,1,0.25,0.25,0.25,per_family,1
P0_0252,20,innovation,0.476063167338773,True,False,1,0.25,0.25,0.25,per_family,1
P0_0253,32,innovation,0.002435347134862,True,False,1,0.25,0.25,0.25,per_family,1
P0_0254,10,innovation,0.115043566919456,True,False,1,0.25,0.25,0.25,per_family,1
P0_0255,35,innovation,0.411230331601995,True,False,1,0.25,0.25,0.25,per_family,1
P0_0256,48,innovation,0.284146501399697,True,False,1,0.25,0.25,0.25,per_family,1
P0_0257,21,innovation,0.16887477105222,True,False,1,0.25,0.25,0.25,per_family,1
P0_0258,11,innovation,0.192584392375448,True,False,1,0.25,0.25,0.25,per_family,1
P0_0259,38,innovation,0.469782172906108,True,False,1,0.25,0.25,0.25,per_family,1
P0_0260,49,innovation,0.479860355763585,True,False,1,0.25,0.25,0.25,per_family,1
P0_0261,39,innovation,0.118026044541089,True,False,1,0.25,0.25,0.25,per_family,1
P0_0262,22,innovation,0.084963510537324,True,False,1,0.25,0.25,0.25,per_family,1
P0_0263,21,innovation,0.168609301328516,True,False,1,0.25,0.25,0.25,per_family,1
P0_0264,40,innovation,0.055105085391801,True,False,1,0.25,0.25,0.25,per_family,1
P0_0265,18,innovation,0.498140333337958,True,False,1,0.25,0.25,0.25,per_family,1
P0_0266,36,innovation,0.216132595623506,True,False,1,0.25,0.25,0.25,per_family,1
P0_0267,10,innovation,0.289309444269403,True,False,1,0.25,0.25,0.25,per_family,1
P0_0268,29,innovation,0.084302968583958,True,False,1,0.25,0.25,0.25,per_family,1
P0_0269,11,innovation,0.205338440575467,True,False,1,0.25,0.25,0.25,per_family,1
P0_0270,14,innovation,0.355155021921528,True,False,1,0.25,0.25,0.25,per_family,1
P0_0271,34,innovation,0.089457418686464,True,False,1,0.25,0.25,0.25,per_family,1
P0_0272,17,innovation,0.196689257491935,True,False,1,0.25,0.25,0.25,per_family,1
P0_0273,48,innovation,0.442417651290513,True,False,1,0.25,0.25,0.25,per_family,1
P0_0274,24,innovation,0.164624809251733,True,False,1,0.25,0.25,0.25,per_family,1
P0_0275,15,innovation,0.248462361005256,True,False,1,0.25,0.25,0.25,per_family,1
P0_0276,49,innovation,0.062251573496466,True,False,1,0.25,0.25,0.25,per_family,1
P0_0277,24,innovation,0.154194384885365,True,False,1,0.25,0.25,0.25,per_family,1
P0_0278,45,innovation,0.318295500194259,True,False,1,0.25,0.25,0.25,per_family,1
P0_0279,21,innovation,0.191892051724176,True,False,1,0.25,0.25,0.25,per_family,1
P0_0280,27,innovation,0.011695165197471,True,False,1,0.25,0.25,0.25,per_family,1
P0_0281,17,innovation,0.315257830957732,True,False,1,0.25,0.25,0.25,per_family,1
P0_0282,43,innovation,0.216487181951565,True,False,1,0.25,0.25,0.25,per_family,1
P0_0283,28,innovation,0.091252050706344,True,False,1,0.25,0.25,0.25,per_family,1
P0_0284,37,innovation,0.098143373828361,True,False,1,0.25,0.25,0.25,per_family,1
P0_0285,25,innovation,0.057290942623543,True,False,1,0.25,0.25,0.25,per_family,1
P0_0286,46,innovation,0.193026429264429,True,False,1,0.25,0.25,0.25,per_family,1
P0_0287,39,innovation,0.393537155756055,True,False,1,0.25,0.25,0.25,per_family,1
P0_0288,36,innovation,0.227212589463328,True,False,1,0.25,0.25,0.25,per_family,1
P0_0289,41,innovation,0.441205906779051,True,False,1,0.25,0.25,0.25,per_family,1
P0_0290,48,innovation,0.397838331769143,True,False,1,0.25,0.25,0.25,per_family,1
P0_0291,13,innovation,0.101243189786364,True,False,1,0.25,0.25,0.25,per_family,1
P0_0292,16,innovation,0.159572076153045,True,False,1,0.25,0.25,0.25,per_family,1
P0_0293,49,innovation,0.124038631792046,True,False,1,0.25,0.25,0.25,per_family,1
P0_0294,10,innovation,0.122333707034716,True,False,1,0.25,0.25,0.25,per_family,1
P0_0295,41,innovation,0.483335870117049,True,False,1,0.25,0.25,0.25,per_family,1
P0_0296,17,innovation,0.018114503546123,True,False,1,0.25,0.25,0.25,per_family,1
P0_0297,28,innovation,0.072436528476776,True,False,1,0.25,0.25,0.25,per_family,1
P0_0298,37,innovation,0.3950700887237,True,False,1,0.25,0.25,0.25,per_family,1
P0_0299,26,innovation,0.447249476481434,True,False,1,0.25,0.25,0.25,per_family,1
P0_0300,15,innovation,0.055235666617554,True,False,1,0.25,0.25,0.25,per_family,1
P0_0301,18,innovation,0.465567162663413,True,False,1,0.25,0.25,0.25,per_family,1
P0_0302,49,innovation,0.129854513450312,True,False,1,0.25,0.25,0.25,per_family,1
P0_0303,28,innovation,0.166981549416374,True,False,1,0.25,0.25,0.25,per_family,1
P0_0304,10,innovation,0.379171222272721,True,False,1,0.25,0.25,0.25,per_family,1
P0_0305,16,innovation,0.304330202257399,True,False,1,0.25,0.25,0.25,per_family,1
P0_0306,23,innovation,0.175382126913599,True,False,1,0.25,0.25,0.25,per_family,1
P0_0307,27,innovation,0.437694390952882,True,False,1,0.25,0.25,0.25,per_family,1
P0_0308,18,innovation,0.358502642773916,True,False,1,0.25,0.25,0.25,per_family,1
P0_0309,13,innovation,0.347044959665196,True,False,1,0.25,0.25,0.25,per_family,1
P0_0310,49,innovation,0.129180585336892,True,False,1,0.25,0.25,0.25,per_family,1
P0_0311,34,innovation,0.470817715938184,True,False,1,0.25,0.25,0.25,per_family,1
P0_0312,38,innovation,0.285583029984775,True,False,1,0.25,0.25,0.25,per_family,1
P0_0313,13,innovation,0.096151335859977,True,False,1,0.25,0.25,0.25,per_family,1
